,Unnamed: 0,tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,movieId,imdbId,tmdbId,randomNumber,Budget,Box Office,Rated,Metascore,IMDB Rating,IMDB Votes,Rotten Tomatoes
49,49,tt3064298,Man Up,Man Up,2015,88,"Comedy,Drama,Romance",132660,3064298,332340.0,0.007958375128929,,3000000,R,69.0,6.8,50433.0,80.0
50,50,tt1034415,Suspiria,Suspiria,2018,152,"Fantasy,Horror,Mystery",176801,1034415,361292.0,0.0082529349156428,20000000.0,6348889,R,64.0,6.7,68539.0,65.0
51,51,tt1313104,The Cove,The Cove,2009,92,"Biography,Crime,Documentary",71462,1313104,23128.0,0.0082534416052987,,1162422,PG-13,84.0,8.4,48785.0,95.0
52,52,tt0180093,Requiem for a Dream,Requiem for a Dream,2000,102,Drama,3949,180093,641.0,0.0086478373322684,4500000.0,7390108,Unrated,68.0,8.3,795279.0,79.0
53,53,tt3179568,"Men, Women & Children","Men, Women & Children",2014,119,"Comedy,Drama",119068,3179568,243684.0,0.0088129459661289,,461162,R,38.0,6.7,31650.0,33.0
54,54,tt2372678,2 States,2 States,2014,149,"Comedy,Drama,Romance",154470,2372678,259720.0,0.0091051269819601,4587786.0,22414611,Not Rated,,6.9,24540.0,40.0
55,55,tt0492466,Iraq in Fragments,Iraq in Fragments,2006,94,"Documentary,War",51457,492466,34389.0,0.009279595326486,,202000,Not Rated,84.0,7.2,1463.0,91.0
56,56,tt7158430,Hearts Beat Loud,Hearts Beat Loud,2018,97,"Comedy,Drama,Music",186953,7158430,470333.0,0.0092847044893,2000000.0,2115765,PG-13,65.0,6.9,10581.0,92.0
57,57,tt2823054,Mike and Dave Need Wedding Dates,Mike and Dave Need Wedding Dates,2016,98,"Comedy,Romance",160567,2823054,316023.0,0.0095977642748136,33000000.0,77068246,R,51.0,6.0,86092.0,38.0
58,58,tt1592525,Lockout,Lockout,2012,95,"Action,Sci-Fi,Thriller",93563,1592525,81796.0,0.0096052780018448,20000000.0,32204030,PG-13,48.0,6.1,96707.0,37.0
59,59,tt0449086,Dominion,Dominion: Prequel to the Exorcist,2005,117,"Drama,Horror,Thriller",33644,449086,12700.0,0.0096338708816451,30000000.0,251495,R,55.0,5.2,11165.0,30.0
60,60,tt4466894,Sahara,Sahara,2017,86,"Adventure,Animation,Comedy",175753,4466894,423453.0,0.0098320065944786,,7800000,TV-Y7,,5.6,2637.0,
61,61,tt4520364,Morgan,Morgan,2016,92,"Action,Horror,Sci-Fi",162594,4520364,377264.0,0.0098877927761259,8000000.0,8810591,R,48.0,5.8,41333.0,37.0
62,62,tt0467197,Max Payne,Max Payne,2008,100,"Action,Crime,Drama",62394,467197,13051.0,0.0099652789686699,35000000.0,85416905,PG-13,31.0,5.3,124103.0,15.0
63,63,tt1235189,Wild Target,Wild Target,2010,98,"Action,Comedy,Crime",81804,1235189,44147.0,0.0102356005138738,8000000.0,3453043,PG-13,41.0,6.8,37228.0,33.0
64,64,tt6556670,Serial (Bad) Weddings 2,Qu'est-ce qu'on a encore fait au bon Dieu?,2019,99,"Comedy,Drama",200254,6556670,505436.0,0.0103520461084113,,74769845,,,6.1,6873.0,
65,65,tt7967412,Eye for an Eye,Quien a hierro mata,2019,107,"Drama,Thriller",206262,7967412,574376.0,0.0103652604165161,3328289.0,2407571,TV-MA,,6.6,6793.0,89.0
66,66,tt0430912,Basic Instinct 2,Basic Instinct 2,2006,114,"Drama,Mystery,Thriller",44759,430912,3093.0,0.0104811786446464,70000000.0,38629478,R,26.0,4.4,38689.0,6.0
67,67,tt0390109,I Like Killing Flies,I Like Killing Flies,2004,80,Documentary,111757,390109,51069.0,0.0105827951856328,,14000,R,71.0,7.3,1202.0,95.0
68,68,tt0859635,Super Troopers 2,Super Troopers 2,2018,100,"Comedy,Crime,Mystery",187067,859635,50022.0,0.0106592585946935,13500000.0,18850674,R,41.0,6.1,25296.0,21.0
69,69,tt1423995,Stone,Stone,2010,105,"Drama,Thriller",80880,1423995,44113.0,0.0108512238896446,22000000.0,9479718,R,58.0,5.4,41079.0,50.0
70,70,tt2926810,ABCs of Death 2,ABCs of Death 2,2014,125,"Comedy,Horror",117312,2926810,193726.0,0.0109617521155598,,7171,Not Rated,53.0,5.4,8290.0,73.0
