tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,movieId,imdbId,tmdbId,randomNumber,Budget,Box Office
tt1817771,Freaks of Nature,Freaks of Nature,2015,92,"Comedy,Horror,Sci-Fi",144734,1817771,218784.0,0.07553617268784829,,70958
tt2363471,The Summit,The Summit,2012,95,Documentary,109280,2363471,133441.0,0.0756841446028994,1000000.0,243550
tt3862750,The Perfect Guy,The Perfect Guy,2015,100,Thriller,144714,3862750,304372.0,0.07579066870995554,12000000.0,60273173
tt1680058,Boris - Il film,Boris - Il film,2011,108,Comedy,159853,1680058,58522.0,0.0758434356112011,3347850.0,1248748
tt2771200,Beauty and the Beast,Beauty and the Beast,2017,129,"Family,Fantasy,Musical",168366,2771200,321612.0,0.07594970381688171,160000000.0,1263521126
tt5563334,The Good Liar,The Good Liar,2019,109,"Crime,Drama,Mystery",208747,5563334,511322.0,0.07603738915391667,10000000.0,33856058
tt2103267,Adore,Adoration,2013,112,"Drama,Romance",104631,2103267,111190.0,0.0760484415882755,16000000.0,1575749
tt2294449,22 Jump Street,22 Jump Street,2014,112,"Action,Comedy,Crime",112138,2294449,187017.0,0.07633770708152077,50000000.0,188441614
tt0987918,The Irony of Fate 2,Ironiya sudby. Prodolzhenie,2007,115,"Comedy,Romance",171727,987918,27046.0,0.07636163699055865,5000000.0,55635037
tt0449088,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,2007,169,"Action,Adventure,Fantasy",53125,449088,285.0,0.076696598765013,300000000.0,961000000
tt0422295,Fur: An Imaginary Portrait of Diane Arbus,Fur: An Imaginary Portrait of Diane Arbus,2006,122,"Biography,Drama,Romance",49666,422295,18615.0,0.07673125197590702,16800000.0,2281089
tt7798634,Ready or Not,Ready or Not,2019,95,"Action,Comedy,Horror",204704,7798634,567609.0,0.07704562012818983,6000000.0,57615777
tt4088268,Department Q: A Conspiracy of Faith,Flaskepost fra P,2016,112,"Crime,Drama,Mystery",162418,4088268,348668.0,0.07705767188674983,5210000.0,5900000
tt0301357,Good Bye Lenin!,Good Bye Lenin!,2003,121,"Comedy,Drama,Romance",7323,301357,338.0,0.07718520883731084,4800000.0,79384880
tt0404203,Little Children,Little Children,2006,137,"Drama,Romance",48696,404203,1440.0,0.07727987838993777,26000000.0,14821658
tt0121164,Corpse Bride,Corpse Bride,2005,77,"Animation,Drama,Family",37729,121164,3933.0,0.07742178385330412,40000000.0,118090836
tt4129870,White Girl,White Girl,2016,88,"Crime,Drama",155830,4129870,336011.0,0.07743609883733793,700000.0,200242
tt4351548,Bomb City,Bomb City,2017,98,"Crime,Drama",184353,4351548,396774.0,0.07757558436993639,,59000
tt0281322,Undisputed,Undisputed,2002,96,"Action,Crime,Drama",5531,281322,15070.0,0.07802340431734667,20000000.0,14946150
tt0799949,Epic Movie,Epic Movie,2007,86,"Adventure,Comedy,Fantasy",50798,799949,9760.0,0.07805533675266763,20000000.0,86865564
tt4851630,Maheshinte Prathikaaram,Maheshinte Prathikaaram,2016,120,"Comedy,Drama,Thriller",163422,4851630,381691.0,0.07822966559669997,594667.0,2292774
tt0803096,Warcraft,Warcraft,2016,123,"Action,Adventure,Fantasy",122890,803096,68735.0,0.07847052686308043,160000000.0,433677183
tt0832903,Manufactured Landscapes,Manufactured Landscapes,2006,86,Documentary,54185,832903,24582.0,0.07858574533278417,,240239
tt5814060,The Nun,The Nun,2018,96,"Horror,Mystery,Thriller",191483,5814060,439079.0,0.07876498301040635,22000000.0,365550119
tt1723120,Viva Riva!,Viva Riva!,2010,98,"Crime,Drama,Thriller",94539,1723120,63946.0,0.07901727300668182,,43880
tt1606392,Win Win,Win Win,2011,106,"Comedy,Drama,Sport",85881,1606392,55725.0,0.07978566106511142,10831173.0,10654385
tt2309961,Afflicted,Afflicted,2013,85,"Horror,Mystery,Thriller",111551,2309961,210947.0,0.07979341027411557,318000.0,121179
tt0348593,The Door in the Floor,The Door in the Floor,2004,111,"Comedy,Drama",8532,348593,1944.0,0.07985950161959265,7500000.0,6715067
tt1181614,Wuthering Heights,Wuthering Heights,2011,129,"Drama,Romance",91035,1181614,9364.0,0.07986342170012017,5692172.0,1742215
tt0460611,The Work and the Glory III: A House Divided,The Work and the Glory III: A House Divided,2006,93,"Drama,Western",163603,460611,32523.0,0.08005028312253082,6500000.0,1325092
tt3127902,Dealt,Dealt,2017,85,"Biography,Documentary",196863,3127902,438440.0,0.0800593747217494,,30414
tt6458726,Mify,Mify,2017,89,Comedy,183089,6458726,457851.0,0.08045013609857188,665000.0,902684
tt7524414,Beats,Beats,2019,101,"Comedy,Crime,Drama",201074,7524414,493141.0,0.08068855052967128,25000.0,310827
tt0857376,Gabriel,Gabriel,2007,114,"Action,Fantasy,Horror",59040,857376,9997.0,0.08074827988892841,200000.0,1395610
tt1646980,The Double,The Double,2011,98,"Action,Crime,Drama",90738,1646980,73499.0,0.08101378968019546,17000000.0,3696232
tt6981702,Empowered,Sin rodeos,2018,87,Comedy,193793,6981702,505015.0,0.08111929507886462,3900000.0,4200000
tt1041804,The Nutcracker: The Untold Story,The Nutcracker in 3D,2010,110,"Action,Family,Fantasy",107217,1041804,49852.0,0.08117120584107629,90000000.0,17177993
tt0369738,Moscow Heat,Moscow Heat,2004,90,"Action,Drama",143432,369738,106546.0,0.08136875156820844,,1100000
tt5376232,Jacob's Kingdom of Heaven,Jacobinte Swargarajyam,2016,145,"Biography,Drama,Family",184767,5376232,388088.0,0.08138878837925623,110000.0,520000
tt1308736,Le missionnaire,Le missionnaire,2009,91,Comedy,167974,1308736,17417.0,0.08225050995573635,,2808769
tt1167599,Vicky the Viking,Wickie und die starken Männer,2009,85,"Action,Adventure,Comedy",194218,1167599,22355.0,0.08277979960633153,11000000.0,32000000
tt2363047,22 Female Kottayam,22 Female Kottayam,2012,120,"Drama,Thriller",186739,2363047,129088.0,0.08303584405642406,400000.0,500000
tt0289635,Young Adam,Young Adam,2003,98,"Crime,Drama",7442,289635,237.0,0.08303930958409167,6400000.0,2500000
tt0495596,Tales from Earthsea,Gedo senki,2006,115,"Adventure,Animation,Fantasy",52806,495596,37933.0,0.08335146655834391,22000000.0,68625104
tt0435623,Conversations with Other Women,Conversations with Other Women,2005,84,"Comedy,Drama,Romance",48342,435623,15624.0,0.08340376503898772,450000.0,973525
